Word	uniqueID	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	WordNet Synonyms	Definition (from WordNet, Google, or Wikipedia)	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	Number of word meanings in list	Example image
mullet	mullet					mullet	a man's hairstyle in which the hair is cut short at the front and sides and left long at the back	0	0.96	12627	4.78	444	275	0.82	24426	30	29	Noun				hairstyle	1	https://imgur.com/5kfELGc
mushroom	mushroom	n12997919	mushroom%1:20:02::	mushroom#3	mushroom.n.03	mushroom	any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium	0	1	3966	4.83	2667	6454	0.9	4292	336	109	Noun			food	fungus	1	https://imgur.com/TJZHRU1
music box	music_box	n03801353	music_box%1:06:00::	music_box#1	music_box.n.01	music_box, musical_box	produces music by means of pins on a revolving cylinder that strike the tuned teeth of a comb-like metal plate	1	1	10512	4.89	360					0	#N/A		musical instrument	electronic device, toy	music player	1	https://imgur.com/0Dki9xZ
mussel	mussel	n01963571	mussel%1:05:00::	mussel#2	mussel.n.02	mussel	marine or freshwater bivalve mollusk that lives attached to rocks etc.	0	1	12752.5	4.69	343				86	14	Noun		animal	animal, food	seafood, shellfish	1	https://imgur.com/q24QaEJ
mustache	mustache	n05262185	mustache%1:08:00::	mustache#1	mustache.n.01	mustache, moustache	an unshaved growth of hair on the upper lip	0	1	5045	4.9	2848	2263	0.89	8253		252	Noun			body part	facial hair	1	https://imgur.com/VHkNBlR
mustard	mustard	n07819480	mustard%1:13:00::	mustard#2	mustard.n.02	mustard, table_mustard	pungent powder or paste prepared from ground mustard seeds	0	1	3808.5	4.93	5004	3642	0.9	6177	487	329	Noun		food	food	condiment	1	https://imgur.com/CVrLgxz
nacho	nacho	n07712959	nacho%1:13:00::	nacho#1	nacho.n.01	nacho	a tortilla chip topped with cheese and chili-pepper and broiled	0	1	12072.5	4.86	312	245	0.88	24842		67	Noun	food	food	food	food	1	https://imgur.com/yzynYEG
nail	nail	n03804744	nail%1:06:00::	nail#2	nail.n.02	nail	a thin pointed piece of metal that is hammered into materials as a fastener	0	1	2517	4.93	4761	8255	0.92	3582	759	951	Verb				hardware, fastener	1	https://imgur.com/yvH22WE
nail clippers	nail_clippers					nail_clippers	a hand tool used to trim fingernails, toenails and hangnails	1	0.97	15608	4.86	51					0	#N/A			tool	grooming tool, personal hygiene item	1	https://imgur.com/ixSK7CC
nail file	nail_file	n03805280	nailfile%1:06:00::	nailfile#1	nailfile.n.01	nailfile	a small flat file for shaping the nails	1	1	15549	4.79	81					0	#N/A		tool	tool	beauty supply, nail care	1	https://imgur.com/VBh5qb0
nail polish	nail_polish	n03805725	nail_polish%1:06:00::	nail_polish#1	nail_polish.n.01	nail_polish, nail_enamel, nail_varnish	a cosmetic lacquer that dries quickly and that is applied to the nails to color them or make them shiny	1	1	7562.5	5	651					0	#N/A				makeup, beauty supply	1	https://imgur.com/R2cMxh3
napkin	napkin	n03807537	napkin%1:06:00::	napkin#1	napkin.n.01	napkin, table_napkin, serviette	a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing	0	1	4274	4.93	2431	2827	0.88	7269	196	184	Noun				paper product	1	https://imgur.com/dCyJO5H
napkin ring	napkin_ring	n03807780	napkin_ring%1:06:00::	napkin_ring#1	napkin_ring.n.01	napkin_ring	a circular band used to hold a particular person's napkin	1	1	15448	4.93	30					0	#N/A				dining accessory	1	https://imgur.com/7jP1Jen
navel	navel	n05556595	navel%1:08:00::	navel#1	navel.n.01	navel, umbilicus, bellybutton, belly_button, omphalos, omphalus	a scar where the umbilical cord was attached	0	1	9795	4.71	922	804	0.91	14415	123	63	Noun	body part		body part	body part	1	https://imgur.com/wcnLRUU
neck	neck	n05546540	neck%1:08:00::	neck#1	neck.n.01	neck, cervix	the part of an organism (human or animal) that connects the head to the rest of the body	0	1	810.5	5	32017	25716	0.9	1526	5634	3035	Noun	body part	body part	body part	body part	1	https://imgur.com/wWpWCPw
necklace	necklace	n03814906	necklace%1:06:00::	necklace#1	necklace.n.01	necklace	jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)	0	1	3819.5	4.96	3936	3138	0.91	6678	288	497	Noun		decoration		jewelry	1	https://imgur.com/QdoL0z3
needle	needle	n03816136	needle%1:06:00::	needle#3	needle.n.03	needle	a sharp pointed implement (usually steel)	0	1	2658.5	4.93	5550	7378	0.94	3834	1249	608	Noun			tool	sewing accessory	1	https://imgur.com/PSi9eDg
nest	nest	n09369169	nest%1:17:00::	nest#1	nest.n.01	nest	a structure in which animals lay eggs or give birth to their young	0	1	3619	4.86	6585	6541	0.93	4164	1465	566	Noun				animal habitat	1	https://imgur.com/4fC0Zub
net	net	n03819595	net%1:06:00::	net#6	net.n.06	net, network, mesh, meshing, meshwork	an open fabric of string or rope or wire woven together at regular intervals	0	1	6158.5	4.53	9718	10918	0.95	2901	6685	793	Noun				fishing equipment	1	https://imgur.com/GTkDLal
nightshirt	nightshirt	n03824999	nightshirt%1:06:00::	nightshirt#1	nightshirt.n.01	nightshirt	nightclothes worn by men	0	1	11691	5	219	175	0.81	29096	49	11	Noun	clothing	clothing	clothing	clothing, sleepwear	1	https://imgur.com/cfaQp9l
nightstand	nightstand					nightstand	a small low bedside table, typically having drawers	0	1	9466.5	4.81	944	655	0.85	16525		43	Noun	furniture		furniture, container	furniture	1	https://imgur.com/Ud5NJaG
noisemaker	noisemaker	n03827536	noisemaker%1:06:00::	noisemaker#1	noisemaker.n.01	noisemaker	a device (such as a clapper or bell or horn) used to make a loud noise at a celebration	0	1	20667	4.11	34	96	0.89	34337		3	Noun			toy	party supply	1	https://imgur.com/xsCHaEq
noodle	noodle	n07699584	noodle%1:13:00::	noodle#1	noodle.n.01	noodle	a ribbonlike strip of pasta	0	1	6998	4.71	877	2318	0.9	8083	41	148	Noun	food		food	food, pasta	1	https://imgur.com/ZgFR7Sy
noose	noose	n03829563	noose%1:06:01::	noose#2	noose.n.02	noose, running_noose, slip_noose	a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled	0	1	11805.5	4.52	814	742	0.89	15183	110	111	Noun				rope	1	https://imgur.com/QmSUcS4
nose	nose	n05598147	nose%1:08:00::	nose#1	nose.n.01	nose, olfactory_organ	the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals	0	1	1988	4.89	26224	21938	0.91	1744	4337	3557	Noun	body part	body part	body part	body part, facial feature	1	https://imgur.com/cPopXT2
notebook	notebook	n06415419	notebook%1:10:00::	notebook#1	notebook.n.01	notebook	a book with blank pages for recording notes or memoranda	0	1	3170	4.92	5905	5884	0.93	4467	793	235	Noun	office supply		office supply	office supply, school supply	1	https://imgur.com/k2v2o63
notepad	notepad	n15021085	notepad%1:27:00::	notepad#1	notepad.n.01	notepad	a pad of paper for keeping notes	0	1	11383	4.7	646	504	0.86	18561		8	Noun	office supply		office supply	office supply, stationery	1	https://imgur.com/49Wq8l8
nut	nut	n13136556	nut%1:20:00::	nut#1	nut.n.01	nut	usually large hard-shelled seed	0	1	6418	4.52	3620	9605	0.94	3209	670	797	Noun	food	fruit	food	food	1	https://imgur.com/4H0vTMb
nutcracker	nutcracker	n03836602	nutcracker%1:06:00::	nutcracker#1	nutcracker.n.01	nutcracker	a compound lever used to crack nuts open	0	1	15329.5	4.81	738	81	0.79	37460		36	Noun	kitchen tool		kitchen tool, tool	kitchen tool	1	https://imgur.com/Kt26KBA
oar	oar	n03837422	oar%1:06:00::	oar#1	oar.n.01	oar	an implement used to propel or steer a boat	0	1	8669.5	4.84	439	763	0.88	15036	81	42	Noun			sports equipment	boat equipment	1	https://imgur.com/YvJJeTU
oatmeal	oatmeal	n07874995	oatmeal%1:13:00::	oatmeal#1	oatmeal.n.01	oatmeal, burgoo	porridge made of rolled oats	0	1	6115.5	4.93	1805	1306	0.9	11222	78	169	Noun	food	food	food	breakfast food, food	1	https://imgur.com/ygxN6wC
octopus	octopus	n01970164	octopus%1:05:00::	octopus#2	octopus.n.02	octopus, devilfish	bottom-living cephalopod having a soft oval body with eight long tentacles	0	1	7333.5	5	1019	698	0.84	16073		99	Noun		animal	animal, food	sea creature, sea animal	1	https://imgur.com/Ovg9Aj1
odometer	odometer	n03841143	odometer%1:06:00::	odometer#1	odometer.n.01	odometer, hodometer, mileometer, milometer	a meter that shows mileage traversed	0	0.93	14025.5	4.72	238	207	0.89	26370		11	Noun	part of car		part of car	part of car, vehicle gauge	1	https://imgur.com/y0RA8OE
oil	oil	n07689142	oil%1:13:00::	oil#4	oil.n.04	vegetable_oil, oil	any of a group of liquid edible fats that are obtained from plants	0	1	926	4.93	96939	74386	0.93	546	10277	2095	Noun				cooking supply	1	https://imgur.com/mW0hZBr
oilcan	oilcan	n03843316	oilcan%1:06:00::	oilcan#1	oilcan.n.01	oilcan	a can with a long nozzle to apply oil to machinery	0	0.93	19133.5	4.62	16				4	6	Noun	container	container	container	container	1	https://imgur.com/SpIdkfe
okra	okra	n12172364	okra%1:20:02::	okra#1	okra.n.01	okra	long green edible beaked pods of the okra plant	0	0.92	9989	4.78	969	621	0.86	16859	30	26	Noun	vegetable	fruit	food, vegetable	vegetable	1	https://imgur.com/3uF9Iyg
olive	olive	n12301445	olive%1:20:01::	olive#1	olive.n.01	olive	small ovoid fruit of the European olive tree; important food and source of oil	0	1	4112	4.9	3331	3622	0.89	6242	924	375	Adjective	food	fruit	food	food	1	https://imgur.com/spUIaTI
omelet	omelet	n07842753	omelet%1:13:00::	omelet#1	omelet.n.01	omelet, omelette	beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly	0	1	8016	4.93	683	682				121	Noun	food	food	food	breakfast food, food	1	https://imgur.com/tzemanf
onion	onion	n12433081	onion%1:20:02::	onion#1	onion.n.01	onion	the bulb of an onion plant	0	1	2719.5	4.86	11543	13769	0.88	2583	680	216	Noun	food, vegetable		food, vegetable	vegetable, food	1	https://imgur.com/huTpOp7
orange	orange	n07747607	orange%1:13:00::	orange#1	orange.n.01	orange	round yellow to orange fruit of any of several citrus trees	0	1	5245.5	4.66	10005	9219	0.94	3296	2693	1138	Adjective	fruit	fruit	food, fruit	fruit, citrus fruit	1	https://imgur.com/ooPzG7C
orange rind	orange_rind	n07738905	orange_rind%1:13:00::	orange_rind#1	orange_rind.n.01	orange_peel, orange_rind	the rind of an orange	1	1	15066	4.67	175					0	#N/A				fruit peel	1	https://imgur.com/Ob6fPNx
orangutan	orangutan	n02480495	orang%1:05:00::	orang#1	orang.n.01	orangutan, orang, orangutang, Pongo_pygmaeus	large long-armed ape of Borneo and Sumatra having arboreal habits	0	1	11841	4.81	188	312	0.83	23025		29	Noun	animal	animal	animal	primate, animal, mammal	1	https://imgur.com/VlIGqd0
orchid	orchid	n12041446	orchid%1:20:00::	orchid#1	orchid.n.01	orchid, orchidaceous_plant	any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors	0	1	5495.5	4.92	1214	1783	0.88	9532	210	110	Noun		plant	plant	flower	1	https://imgur.com/d6MpuTG
organ	organ	n03854065	organ%1:06:00::	organ#5	organ.n.05	organ, pipe_organ	wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard	0	1	4234	4.77	5924	8596	0.95	3417	1340	370	Noun	musical instrument	musical instrument	musical instrument	musical instrument	1	https://imgur.com/ayllWvR
origami	origami	n00936456	origami%1:04:00::	origami#1	origami.n.01	origami	the Japanese art of folding paper into shapes representing objects (e.g., flowers or birds)	0	0.97	17935	4.38	311	146	0.88	30118		39	Noun				art, paper art	1	https://imgur.com/4ecUYKC
ostrich	ostrich	n01518878	ostrich%1:05:00::	ostrich#2	ostrich.n.02	ostrich, Struthio_camelus	fast-running African flightless bird with two-toed feet; largest living bird	0	1	11692.5	4.71	477	444	0.87	19481	137	48	Noun	animal, bird	animal, bird	animal, bird	bird, animal	1	https://imgur.com/vE7CmaE
otter	otter	n02444819	otter%1:05:00::	otter#2	otter.n.02	otter	freshwater carnivorous mammal having webbed and clawed feet and dark brown fur	0	1	7286	4.86	896	1141	0.88	12222	194	69	Noun	animal	animal	animal	animal, mammal	1	https://imgur.com/9h2yzSa
ottoman	ottoman	n03858418	ottoman%1:06:00::	ottoman#1	ottoman.n.01	ottoman, pouf, pouffe, puff, hassock	thick cushion used as a seat	0	1	11189	4.9	486	280	0.86	23768		16	Noun	furniture	furniture	furniture	furniture	1	https://imgur.com/sipLlZ7
outfit	outfit	n03859958	outfit%1:06:01::	outfit#2	outfit.n.02	outfit, getup, rig, turnout	a set of clothing (with accessories)	0	1	9915.5	4.12	5596	5850	0.94	4440	835	1280	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/2gM1aFU
outlet	outlet	n04548771	outlet%1:06:02::	outlet#2	outlet.n.02	wall_socket, wall_plug, electric_outlet, electrical_outlet, outlet, electric_receptacle	receptacle providing a place in a wiring system where current can be taken to run electrical devices	0	1	8771.5	4.31	3572	5497	0.94	4668	585	102	Noun				electrical source	1	https://imgur.com/SHF2P9Q
oven	oven	n03862676	oven%1:06:00::	oven#1	oven.n.01	oven	kitchen appliance used for baking or roasting	0	1	1710.5	4.97	15452	11454	0.89	2937	1348	453	Noun	kitchen appliance	kitchen appliance	kitchen appliance	kitchen appliance	1	https://imgur.com/HibC9zt
overalls	overalls	n03863108	overall%1:06:00::	overall#1	overall.n.01	overall	(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)	0	0.96	5877.5	4.74	1064					52	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/3SVNgQe
owl	owl	n01621127	owl%1:05:00::	owl#1	owl.n.01	owl, bird_of_Minerva, bird_of_night, hooter	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes	0	1	3777.5	4.93	5004	3702	0.92	6031	1151	286	Noun	bird	animal, bird	animal, bird	bird	1	https://imgur.com/ij9oM5X
oyster	oyster	n01960459	oyster%1:05:00::	oyster#1	oyster.n.01	oyster	marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters	0	1	4411.5	4.85	3082	4429	0.7	6390	235	156	Noun		animal	animal, food	seafood, shellfish	1	https://imgur.com/zA0dsjP
pacifier	pacifier	n03075768	pacifier%1:06:00::	pacifier#3	pacifier.n.03	comforter, pacifier, u"baby's_dummy", teething_ring	device used for an infant to suck or bite on	0	1	14210	4.61	266	282	0.87	23542		20	Noun				baby supply	1	https://imgur.com/F5xuq5M
paddle	paddle	n03873416	paddle%1:06:00::	paddle#4	paddle.n.04	paddle, boat_paddle	a short light oar used without an oarlock to propel a canoe or small boat	0	1	7508	4.8	1411	1313	0.92	11008	295	191	Noun			sports equipment	boat equipment	1	https://imgur.com/qgFxKnI
padlock	padlock	n03874599	padlock%1:06:00::	padlock#1	padlock.n.01	padlock	a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut	0	1	10841	4.92	326	299	0.86	23160	118	35	Noun				lock, security device	1	https://imgur.com/2uqjuhQ
paint	paint	n03875218	paint%1:06:00::	paint#1	paint.n.01	paint, pigment	a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating	0	1	3547	4.79	14175	12673	0.91	2670	3518	1877	Verb				art supply	1	https://imgur.com/aXB7RP6
paintbrush	paintbrush	n03876231	paintbrush%1:06:00::	paintbrush#1	paintbrush.n.01	paintbrush	a brush used as an applicator (to apply paint)	0	1	11225.5	4.79	476	403	0.9	20037	64	27	Noun			tool	art supply	1	https://imgur.com/dv2UR4i
painting	painting	n03876519	painting%1:06:00::	painting#1	painting.n.01	painting, picture	graphic art consisting of an artistic composition made by applying paints to a surface	0	1	4675.5	4.59	29303	39264	0.91	1057	4297	1489	Noun				art	1	https://imgur.com/6vjggiA
pajamas	pajamas	n03877472	pajama%1:06:00::	pajama#2	pajama.n.02	pajama, pyjama, u"pj's", jammies	(usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers	0	1	7291	4.73	2132	1890	0.88	9171		297	Noun	clothing	clothing	clothing	clothing, sleepwear	1	https://imgur.com/uKfLtLV
palette	palette	n03878674	palette%1:06:00::	palette#2	palette.n.02	palette, pallet	board that provides a flat surface on which artists mix paints and the range of colors used	0	0.96	10062	4.3	3104	2776	0.85	7506	310	29	Noun				art supply	1	https://imgur.com/JULTjkF
pallet	pallet	n03879582	pallet%1:06:03::	pallet#2	pallet.n.02	pallet	a portable platform for storing or moving goods that are stacked on it	0	1	11090.5	4.59	567	775	0.89	14826	90	21	Noun				shipping accessory	1	https://imgur.com/3zk7lCW
palm tree	palm_tree	n12582231	palm%1:20:00::	palm#3	palm.n.03	palm, palm_tree	any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves	1	1	9230.5	5	385					0	#N/A		plant	plant	tropical tree, tree	1	https://imgur.com/8pBpTlt
pan	pan	n03880531	pan%1:06:01::	pan#1	pan.n.01	pan, cooking_pan	cooking utensil consisting of a wide metal vessel	0	1	2685.5	4.86	19443	14148	0.9	2495	1895	627	Noun		kitchen utensil	container	cookware	1	https://imgur.com/vhFfrqT
pancake	pancake	n07640203	pancake%1:13:00::	pancake#1	pancake.n.01	pancake, battercake, flannel_cake, flannel-cake, flapcake, flapjack, griddlecake, hotcake, hot_cake	a flat cake of thin batter fried on both sides on a griddle	0	1	5202	4.86	1418	2659	0.9	7451	111	202	Noun	food		food	breakfast food, food	1	https://imgur.com/egXokNE
panda	panda	n02510455	panda%1:05:01::	panda#1	panda.n.01	giant_panda, panda, panda_bear, coon_bear, Ailuropoda_melanoleuca	large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae	0	1	9512	4.75	861	782	0.83	15238	177	108	Noun	animal	animal	animal	animal, bear	1	https://imgur.com/2m2b2NR
panther	panther	n02128669	panther%1:05:02::	panther#2	panther.n.02	panther	a leopard in the black color phase	0	1	8372	4.93	1345	612	0.82	17334	124	131	Noun	animal	animal	animal	animal, cat	1	https://imgur.com/qvIysYT
panties	panties	n03885028	pantie%1:06:00::	pantie#1	pantie.n.01	pantie, panty, scanty, step-in	short underpants for women or children (usually used in the plural)	0	1	6929.5	4.9	1398	1089	0.86	12667	77	414	Noun		clothing	clothing	underwear, women's underwear	1	https://imgur.com/wvgXVL8
pants	pants	n04489008	pant%1:06:00::	pant#2	pant.n.02	trouser, pant	(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately	0	1	2816.5	4.86	15778	1704	0.84		573	2996	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/gpOldpY
pantsuit	pantsuit	n03885669	pants_suit%1:06:00::	pants_suit#1	pants_suit.n.01	pants_suit, pantsuit	a pair of pants and a matching jacket worn by women	0	0.96	12095.5	4.78	349	324	0.88	22160		8	Noun	clothing	clothing	clothing	clothing, women's clothing	1	https://imgur.com/DSiyIJ5
pantyhose	pantyhose	n03885904	pantyhose%1:06:00::	pantyhose#1	pantyhose.n.01	pantyhose	a woman's tights consisting of underpants and stockings	0	1	10314.5	5	358	278	0.83	24155		87	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/ZtsTOaH
papaya	papaya	n07762244	papaya%1:13:00::	papaya#2	papaya.n.02	papaya	large oval melon-like tropical fruit with yellowish flesh	0	1	9098.5	4.87	609	596	0.89	16875		56	Noun	fruit	fruit	food, fruit	fruit, tropical fruit	1	https://imgur.com/mhq8VAK
paper	paper	n14974264	paper%1:27:00::	paper#1	paper.n.01	paper	a material made of cellulose pulp derived mainly from wood or rags or certain grasses	0	1	919	4.93	74309	75383	0.97	519	17363	5271	Noun	office supply		office supply	office supply, stationery, writing supply	1	https://imgur.com/1NdyKEV
paper bag	paper_bag	n04122825	paper_bag%1:06:00::	paper_bag#1	paper_bag.n.01	sack, poke, paper_bag, carrier_bag	a bag made of paper or plastic for holding customer's purchases	1	1	7506.5	4.89	934					0	#N/A	container	container	container	container, paper container	1	https://imgur.com/z8S1hMZ
paper plate	paper_plate	n03887603	paper_plate%1:06:00::	paper_plate#1	paper_plate.n.01	paper_plate	a disposable plate made of cardboard	1	0.96	11642	5	178					0	#N/A				plate, disposable kitchenware	1	https://imgur.com/ySJhJ2Y
paper towel	paper_towel	n03887697	paper_towel%1:06:00::	paper_towel#1	paper_towel.n.01	paper_towel	a disposable towel made of absorbent paper	1	1	6926	5	795					0	#N/A				paper product, cleaning supply	1	https://imgur.com/MSSOzIK
paperclip	paperclip	n03886762	paperclip%1:06:00::	paperclip#1	paperclip.n.01	paper_clip, paperclip, gem_clip	a wire or plastic clip for holding sheets of paper together	0	1	14397.5	4.96	56	57	0.72	42824		2	Noun	office supply		office supply	office supply	1	https://imgur.com/iVIGMds
paperweight	paperweight	n03887797	paperweight%1:06:00::	paperweight#1	paperweight.n.01	paperweight	a weight used to hold down a stack of papers	0	1	13307.5	4.78	223	220	0.86	26156		21	Noun	office supply			office supply	1	https://imgur.com/N8rzYFf
parachute	parachute	n03888257	parachute%1:06:00::	parachute#1	parachute.n.01	parachute, chute	rescue equipment consisting of a device that fills with air and retards your fall	0	1	7314.5	4.78	1615	1567	0.93	9891		162	Noun				safety equipment	1	https://imgur.com/9HqmFHC
parfait	parfait	n07616386	parfait%1:13:00::	parfait#1	parfait.n.01	parfait	layers of ice cream and syrup and whipped cream	0	0.93	15830.5	4.68	179	123	0.83	32477		12	Noun	dessert	food, dessert	food, dessert	dessert	1	https://imgur.com/oSlHDwT
parking meter	parking_meter	n03891332	parking_meter%1:06:00::	parking_meter#1	parking_meter.n.01	parking_meter	a coin-operated timer located next to a parking space; depositing money into it entitles you to park your car there for a specified length of time	1	1	13553	4.89	127					0	#N/A				fee collection device	1	https://imgur.com/Dnp2Sqt
parrot	parrot	n01816887	parrot%1:05:00::	parrot#1	parrot.n.01	parrot	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds	0	1	5154.5	5	1368	1501	0.92	10220	399	167	Noun	bird	animal, bird	animal, bird	bird, tropical bird	1	https://imgur.com/yA85txY
parsley	parsley	n07819896	parsley%1:13:00::	parsley#2	parsley.n.02	parsley	aromatic herb with flat or crinkly leaves that are cut finely and used to garnish food	0	1	5779.5	4.77	4610	3264	0.87	6715	383	43	Noun		food	plant, food, vegetable	herb	1	https://imgur.com/7nu9EKW
pasta	pasta	n07698915	pasta%1:13:00::	pasta#2	pasta.n.02	pasta, alimentary_paste	shaped and dried dough made from flour and water and sometimes egg	0	1	3729.5	4.86	7841	6062	0.88	4538	550	216	Noun	food		food	food	1	https://imgur.com/BI0qaaF
pastry	pastry	n07622708	pastry%1:13:00::	pastry#2	pastry.n.02	pastry	any of various baked foods made of dough or batter	0	1	3500	4.97	3446	3460	0.89	6400	504	98	Noun	food, dessert		food, dessert	dessert, food	1	https://imgur.com/4GvLoKA
patch	patch	n03897943	patch%1:06:00::	patch#3	patch.n.03	patch	a piece of cloth used as decoration or to mend or cover a hole	0	1	4799	4.7	7826	9155	0.92	3338	1691	888	Noun	clothing accessory		clothing accessory	clothing accessory	1	https://imgur.com/0G6cVHz
patty	patty	n07663899	patty%1:13:03::	patty#1	patty.n.01	patty, cake	small flat mass of chopped food	0	0.89	12607	4.38	3996	818	0.88	14491	41	564	Name	food	food	food	food, pressed meat	1	https://imgur.com/SkMbhRZ
payphone	payphone					payphone	a public telephone that is operated by coins or by a credit or prepaid card	0	1	14827.5	4.79	134	117	0.69	34897		36	Noun				communication device	1	https://imgur.com/zYvzOwm
pea	pea	n12560282	pea%1:20:02::	pea#2	pea.n.02	pea	the fruit or seed of a pea plant	0	1	3669	4.9	2155	4696	0.91	5284	173	199	Noun	vegetable	fruit	food, vegetable	vegetable	1	https://imgur.com/G4mtL60
peach	peach	n07751004	peach%1:13:00::	peach#3	peach.n.03	peach	downy juicy fruit with sweet yellowish or whitish flesh	0	1	3856	4.9	3286	4183	0.93	5594	644	324	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/jMQMjhD
peacock	peacock	n01806143	peacock%1:05:01::	peacock#2	peacock.n.02	peacock	male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots	0	1	7544	5	1272	655	0.9	16024	506	261	Name	bird	animal, bird	animal, bird	bird	1	https://imgur.com/f2BnLK5
peanut	peanut	n11748811	peanut%1:20:02::	peanut#1	peanut.n.01	peanut	underground pod of the peanut vine	0	1	3543.5	4.89	4690	5604	0.92	4671	136	630	Noun	food	fruit	food	food, nut	1	https://imgur.com/bpBIvql
peanut butter	peanut_butter	n07855510	peanut_butter%1:13:00::	peanut_butter#1	peanut_butter.n.01	peanut_butter	a spread made from ground peanuts	1	1	4404.5	4.93	2673					0	#N/A	food	food	food	food	1	https://imgur.com/087SIjz
pear	pear	n07767847	pear%1:13:00::	pear#1	pear.n.01	pear	sweet juicy gritty-textured fruit available in many varieties	0	1	4188	4.93	2245	2950	0.9	6957	231	68	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/P6dRSVh
pearl	pearl	n13372403	pearl%1:21:00::	pearl#1	pearl.n.01	pearl	a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel	0	0.96	4997	4.87	8003	2737	0.9	7315	716	799	Name		decoration		gemstone, jewelry	1	https://imgur.com/0J9qA9M
pecan	pecan	n07774719	pecan%1:13:00::	pecan#3	pecan.n.03	pecan	smooth brown oval nut of south central United States	0	1	5453	4.87	1571	2209	0.88	8439	18	48	Noun		fruit	food	nut	1	https://imgur.com/d1Umbsb
pedal	pedal	n03903424	pedal%1:06:00::	pedal#2	pedal.n.02	pedal, treadle, foot_pedal, foot_lever	a lever that is operated with the foot	0	1	9309	4.44	1876	2445	0.88	7914	380	104	Noun			part of car	part of bicycle	1	https://imgur.com/lLOd3JS
pedometer	pedometer	n03904782	pedometer%1:06:00::	pedometer#1	pedometer.n.01	pedometer	measuring instrument for recording the number of steps taken in walking	0	1	11196.5	4.93	267	253	0.66	27385		1	Noun				fitness tracker	1	https://imgur.com/LGcwTGX
peeler	peeler	n03904909	peeler%1:06:00::	peeler#3	peeler.n.03	peeler	a device for peeling vegetables or fruits	0	1	14737	4.48	432	331	0.85	22285	23	15	Noun	kitchen tool		kitchen tool, tool	kitchen tool	1	https://imgur.com/Yk9b211
peg	peg	n03905540	peg%1:06:00::	peg#1	peg.n.01	peg, nog	a wooden pin pushed or driven into a surface	0	1	6931	4.93	1625	979	0.91	13013	685	1857	Name				wooden fastener	1	https://imgur.com/zaMhIzD
pelican	pelican	n02051845	pelican%1:05:00::	pelican#1	pelican.n.01	pelican	large long-winged warm-water seabird having a large bill with a distensible pouch for fish	0	1	9731	4.96	692	368	0.88	21030		89	Noun	bird	animal, bird	animal, bird	bird, sea bird	1	https://imgur.com/lSyenQZ
pen	pen	n03906997	pen%1:06:00::	pen#1	pen.n.01	pen	a writing implement with a point from which ink flows	0	1	2718	4.92	8986	8117	0.93	3609	2193	1261	Noun			office supply, tool	writing tool	1	https://imgur.com/GLZd3Kf
pencil	pencil	n03908204	pencil%1:06:00::	pencil#1	pencil.n.01	pencil	a thin cylindrical pointed writing implement; a rod of marking substance encased in wood	0	1	3573	4.88	5934	5936	0.93	4450	1185	503	Noun			office supply, tool	writing tool	1	https://imgur.com/di7aNQi
